doc_id	texto	qwen3_categoria
doc_54	Los osos polares están adaptados a vivir en regiones árticas extremadamente frías.	Naturaleza
doc_55	"Ridley Scott dirigió ""Blade Runner"", una obra maestra del cine de ciencia‑ficción"	Cine
doc_56	El curry tailandés combina leche de coco, pasta de chile y hierbas aromáticas.	Cocina
doc_57	La Revolución Rusa de 1917 dio origen a la Unión Soviética.	Historia
doc_58	"""Don Quijote de la Mancha"" es considerada la primera novela moderna."	Literatura
doc_59	Los bosques tropicales albergan la mayor biodiversidad del planeta.	Naturaleza
doc_60	Los coches de Fórmula 1 están construidos con compuestos de fibra de carbono y materiales ultraligeros.	Tecnología
doc_61	Los manglares actúan como filtros de contaminantes y zonas de cría para peces.	Naturaleza
doc_62	La Guerra Fría se caracterizó por la tensión política entre Estados Unidos y la Unión Soviética.	Historia
doc_63	Los ríos transportan vida, alimentando ecosistemas y proporcionando agua dulce.	Naturaleza
doc_64	El software de código abierto permite a desarrolladores de todo el mundo colaborar y mejorar aplicaciones sin restricciones de licencia.	Tecnología
doc_65	La masa madre aporta acidez y aroma al pan artesanal.	Cocina
doc_66	El índice de pobreza mide la proporción de la población con ingresos inferiores al umbral.	Economía
doc_67	"""El señor de los anillos"" es una épica de fantasía escrita por J.R.R. Tolkien."	Literatura
doc_68	La Segunda Guerra Mundial fue un conflicto global que transformó las relaciones internacionales.	Historia
doc_69	El cine de autor se caracteriza por la visión personal del director.	Cine
doc_70	"El protagonista de ""Casablanca"" pronuncia la famosa frase: ""Siempre nos quedará París"""	Cine
doc_71	Los smartphones actuales utilizan procesadores de ocho núcleos para mejorar el rendimiento multitarea.	Tecnología
doc_72	"""Orgullo y prejuicio"" fue escrito por Jane Austen en 1813."	Literatura
doc_73	El tenis se juega en sets y cada set se decide al ganar al menos seis juegos.	Deportes
doc_74	Los bosques boreales están dominados por coníferas como el picea y el abeto.	Naturaleza
doc_75	Los paneles solares de película delgada son más ligeros y flexibles que los tradicionales de silicio cristalino, facilitando su integración en edificios.	Tecnología
doc_76	"Alfred Hitchcock es conocido como el ""maestro del suspense"""	Cine
doc_77	"""Hamlet"" es una tragedia escrita por William Shakespeare."	Literatura
doc_78	"""La divina comedia"" de Dante Alighieri recorre el Infierno, el Purgatorio y el Paraíso."	Literatura
doc_79	El director Quentin Tarantino es conocido por sus giros inesperados en la trama.	Cine
doc_80	El ramen tradicional japonés se sirve con caldo, fideos y toppings variados.	Cocina
doc_81	El mediocampista marcó un gol de larga distancia desde los 30 m.	Deportes
doc_82	El déficit fiscal ocurre cuando el gasto público supera a los ingresos.	Economía
doc_83	La inflación anual de un país mide el aumento generalizado de precios.	Economía
doc_84	"La Carta Magna fue impuesta en el año 1215 por los barones al rey Juan I, conocido como ""Juan sin Tierra""."	Historia
doc_85	Preservar el medio ambiente es proteger el futuro de todas las especies, incluida la nuestra, y garantizar un equilibrio sostenible para el planeta.	Naturaleza
doc_86	La conquista de los incas por Francisco Pizarro, ocurrió en 1532.	Historia
doc_87	La Guerra de los Cien Años enfrentó a Inglaterra y Francia entre 1337 y 1453.	Historia
doc_88	El surf se practica sobre olas en playas de todo el mundo.	Deportes
doc_89	"""La Casa de Papel"" se convirtió en un éxito global de Netflix."	Cine
doc_90	Una buena salsa bechamel requiere mantequilla, harina y leche caliente.	Cocina
doc_91	Las empanadas gallegas se rellenan tradicionalmente con atún, pimiento y huevo.	Cocina
doc_92	El delantero anotó con un tiro cruzado desde fuera del área.	Deportes
doc_93	"""El Principito"" es una fábula filosófica de Antoine de Saint‑Exupéry."	Literatura
doc_94	El mercado de valores se recuperó tras los informes positivos de ganancias.	Economía
doc_95	"""Moby Dick"" narra la obsesión del capitán Ahab."	Literatura
doc_96	El asado argentino se cocina lentamente sobre brasas de leña.	Cocina
doc_97	Los ríos forman valles al erosionar su cauce a lo largo de millones de años.	Naturaleza
doc_98	El fútbol es el deporte más popular en América Latina y Europa.	Deportes
doc_99	Los asistentes virtuales, como Alexa o Google Assistant, procesan voz natural para ejecutar tareas y responder preguntas del usuario.	Tecnología
doc_100	El Muro de Berlín fue derribado el 9 de noviembre de 1989.	Historia
doc_101	Los sistemas de reconocimiento facial utilizan algoritmos de aprendizaje profundo para identificar a personas en tiempo real.	Tecnología
doc_102	"La saga de ""Harry Potter"" convirtió a J.K. Rowling en una autora de culto."	Literatura
doc_103	Los servidores en la nube ofrecen escalabilidad y flexibilidad para empresas que necesitan recursos informáticos bajo demanda.	Tecnología
doc_104	Los corales forman arrecifes que protegen las costas de la erosión.	Naturaleza
doc_105	La natación requiere técnicas de respiración y brazada coordinadas.	Deportes
doc_106	Los arrecifes de coral albergan una biodiversidad increíble y son indicadores de la salud de los océanos.	Naturaleza
doc_107	Para hacer una tortilla española necesitas patatas, huevo y cebolla.	Cocina
doc_108	El críquet es el deporte nacional de India y Pakistán.	Deportes
doc_109	"El film ""Parásitos"" ganó el Óscar a la Mejor Película en 2020."	Cine
doc_110	La polinización de las flores depende principalmente de abejas e insectos.	Naturaleza
doc_111	"""La Odisea"" es un poema épico atribuido a Homero."	Literatura
doc_112	La Primera Guerra Mundial concluyó con el Tratado de Versalles en 1919.	Historia
doc_113	El rugby se caracteriza por la continuidad del juego y el contacto físico.	Deportes
doc_114	El maratón cubre una distancia de 42,195 km.	Deportes
doc_115	La realidad aumentada (AR) superpone información digital sobre el entorno real, mejorando la experiencia de usuarios en juegos y capacitación.	Tecnología
doc_116	El soufflé de queso se infla en el horno gracias al aire atrapado en la masa.	Cocina
doc_117	"""El Laberinto del Fauno"" combina fantasía y realidad en la posguerra española"	Literatura
doc_118	El clima de la tundra se caracteriza por inviernos largos y veranos breves.	Naturaleza
doc_119	"""Fahrenheit 451"" describe una sociedad donde los libros están prohibidos."	Literatura
doc_120	Para caramelizar una cebolla se cocina a fuego lento hasta que adquiera color dorado.	Cocina
