doc_id	texto
doc_45	El secreto de un risotto perfecto está en añadir el caldo poco a poco y remover constantemente.
doc_46	La Revolución Francesa de 1789 marcó el fin del Antiguo Régimen.
doc_47	El Festival de Cannes premia cada año una película con la Palma de Oro
doc_48	La banca central regula la oferta monetaria para controlar la inflación.
doc_49	"""La casa de los espíritus"" combina realismo mágico y política chilena."
doc_50	"""El viejo y el mar"" narra la lucha de un pescador cubano con un marlín gigante."
doc_51	Los Juegos Olímpicos de Tokio 2020 se pospusieron por la pandemia.
doc_52	El entrenador pidió tiempo muerto para reorganizar la presión alta.
doc_53	La impresión 3D está revolucionando la fabricación de piezas personalizadas en sectores como la medicina y la aeronáutica.
doc_54	Los osos polares están adaptados a vivir en regiones árticas extremadamente frías.
doc_55	"Ridley Scott dirigió ""Blade Runner"", una obra maestra del cine de ciencia‑ficción"
doc_56	El curry tailandés combina leche de coco, pasta de chile y hierbas aromáticas.
doc_57	La Revolución Rusa de 1917 dio origen a la Unión Soviética.
doc_58	"""Don Quijote de la Mancha"" es considerada la primera novela moderna."
doc_59	Los bosques tropicales albergan la mayor biodiversidad del planeta.
doc_60	Los coches de Fórmula 1 están construidos con compuestos de fibra de carbono y materiales ultraligeros.
doc_61	Los manglares actúan como filtros de contaminantes y zonas de cría para peces.
doc_62	La Guerra Fría se caracterizó por la tensión política entre Estados Unidos y la Unión Soviética.
doc_63	Los ríos transportan vida, alimentando ecosistemas y proporcionando agua dulce.
doc_64	El software de código abierto permite a desarrolladores de todo el mundo colaborar y mejorar aplicaciones sin restricciones de licencia.
doc_65	La masa madre aporta acidez y aroma al pan artesanal.
doc_66	El índice de pobreza mide la proporción de la población con ingresos inferiores al umbral.
doc_67	"""El señor de los anillos"" es una épica de fantasía escrita por J.R.R. Tolkien."
doc_68	La Segunda Guerra Mundial fue un conflicto global que transformó las relaciones internacionales.
doc_69	El cine de autor se caracteriza por la visión personal del director.
doc_70	"El protagonista de ""Casablanca"" pronuncia la famosa frase: ""Siempre nos quedará París"""
doc_71	Los smartphones actuales utilizan procesadores de ocho núcleos para mejorar el rendimiento multitarea.
doc_72	"""Orgullo y prejuicio"" fue escrito por Jane Austen en 1813."
doc_73	El tenis se juega en sets y cada set se decide al ganar al menos seis juegos.
doc_74	Los bosques boreales están dominados por coníferas como el picea y el abeto.
doc_75	Los paneles solares de película delgada son más ligeros y flexibles que los tradicionales de silicio cristalino, facilitando su integración en edificios.
doc_76	"Alfred Hitchcock es conocido como el ""maestro del suspense"""
doc_77	"""Hamlet"" es una tragedia escrita por William Shakespeare."
doc_78	"""La divina comedia"" de Dante Alighieri recorre el Infierno, el Purgatorio y el Paraíso."
doc_79	El director Quentin Tarantino es conocido por sus giros inesperados en la trama.
doc_80	El ramen tradicional japonés se sirve con caldo, fideos y toppings variados.
doc_81	El mediocampista marcó un gol de larga distancia desde los 30 m.
doc_82	El déficit fiscal ocurre cuando el gasto público supera a los ingresos.
doc_83	La inflación anual de un país mide el aumento generalizado de precios.
doc_84	"La Carta Magna fue impuesta en el año 1215 por los barones al rey Juan I, conocido como ""Juan sin Tierra""."
doc_85	Preservar el medio ambiente es proteger el futuro de todas las especies, incluida la nuestra, y garantizar un equilibrio sostenible para el planeta.
doc_86	La conquista de los incas por Francisco Pizarro, ocurrió en 1532.
doc_87	La Guerra de los Cien Años enfrentó a Inglaterra y Francia entre 1337 y 1453.
doc_88	El surf se practica sobre olas en playas de todo el mundo.
doc_89	"""La Casa de Papel"" se convirtió en un éxito global de Netflix."
doc_90	Una buena salsa bechamel requiere mantequilla, harina y leche caliente.
doc_91	Las empanadas gallegas se rellenan tradicionalmente con atún, pimiento y huevo.
doc_92	El delantero anotó con un tiro cruzado desde fuera del área.
doc_93	"""El Principito"" es una fábula filosófica de Antoine de Saint‑Exupéry."
doc_94	El mercado de valores se recuperó tras los informes positivos de ganancias.
doc_95	"""Moby Dick"" narra la obsesión del capitán Ahab."
doc_96	El asado argentino se cocina lentamente sobre brasas de leña.
doc_97	Los ríos forman valles al erosionar su cauce a lo largo de millones de años.
doc_98	El fútbol es el deporte más popular en América Latina y Europa.
doc_99	Los asistentes virtuales, como Alexa o Google Assistant, procesan voz natural para ejecutar tareas y responder preguntas del usuario.
doc_100	El Muro de Berlín fue derribado el 9 de noviembre de 1989.
doc_101	Los sistemas de reconocimiento facial utilizan algoritmos de aprendizaje profundo para identificar a personas en tiempo real.
doc_102	"La saga de ""Harry Potter"" convirtió a J.K. Rowling en una autora de culto."
doc_103	Los servidores en la nube ofrecen escalabilidad y flexibilidad para empresas que necesitan recursos informáticos bajo demanda.
doc_104	Los corales forman arrecifes que protegen las costas de la erosión.
doc_105	La natación requiere técnicas de respiración y brazada coordinadas.
doc_106	Los arrecifes de coral albergan una biodiversidad increíble y son indicadores de la salud de los océanos.
doc_107	Para hacer una tortilla española necesitas patatas, huevo y cebolla.
doc_108	El críquet es el deporte nacional de India y Pakistán.
doc_109	"El film ""Parásitos"" ganó el Óscar a la Mejor Película en 2020."
doc_110	La polinización de las flores depende principalmente de abejas e insectos.
doc_111	"""La Odisea"" es un poema épico atribuido a Homero."
doc_112	La Primera Guerra Mundial concluyó con el Tratado de Versalles en 1919.
doc_113	El rugby se caracteriza por la continuidad del juego y el contacto físico.
doc_114	El maratón cubre una distancia de 42,195 km.
doc_115	La realidad aumentada (AR) superpone información digital sobre el entorno real, mejorando la experiencia de usuarios en juegos y capacitación.
doc_116	El soufflé de queso se infla en el horno gracias al aire atrapado en la masa.
doc_117	"""El Laberinto del Fauno"" combina fantasía y realidad en la posguerra española"
doc_118	El clima de la tundra se caracteriza por inviernos largos y veranos breves.
doc_119	"""Fahrenheit 451"" describe una sociedad donde los libros están prohibidos."
doc_120	Para caramelizar una cebolla se cocina a fuego lento hasta que adquiera color dorado.
